,propertyCode,price,propertyType,operation,size,exterior,rooms,bathrooms,address,province,municipality,country,latitude,longitude,showAddress,distance,hasVideo,status,newDevelopment,priceByArea,detailedType,suggestedTexts,hasPlan,has360,hasStaging,externalReference,floor,district,hasLift
267,86955129,600.0,countryHouse,rent,60.0,False,2,2,"Camino de la zarzuela 42, 95",Madrid,Villaviciosa de Odón,es,403.095.217,-39.461.034,True,23776,True,renew,False,10.0,"{'typology': 'countryHouse', 'subTypology': 'countryHouse'}","{'subtitle': 'Centro, Villaviciosa de Odón', 'title': 'Finca rústica en Camino de la zarzuela 42, 95'}",False,False,False,Mos-Alq0060,,Centro,
268,98187376,740.0,flat,rent,41.0,True,2,1,Calle Milmarcos,Madrid,Madrid,es,403.771.936,-36.192.667,False,8358,True,good,False,18.0,{'typology': 'flat'},"{'subtitle': 'Casco Histórico de Vallecas, Madrid', 'title': 'Piso en Calle Milmarcos'}",True,True,False,CH-90940-0001,3,Villa de Vallecas,False
269,96910220,525.0,flat,rent,40.0,True,1,1,Calle de Alpajés,Madrid,Aranjuez,es,400.381.958,-35.959.919,False,43059,True,good,False,13.0,{'typology': 'flat'},"{'subtitle': 'Foso-Moreras, Aranjuez', 'title': 'Piso en Calle de Alpajés'}",True,True,False,CH-83866-0005,3,Foso-Moreras,True
270,98859062,750.0,studio,rent,35.0,True,0,1,Calle de Juan Álvarez Mendizábal,Madrid,Madrid,es,404.255.032,-37.128.468,False,1272,False,good,False,21.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Argüelles, Madrid', 'title': 'Estudio en Calle de Juan Álvarez Mendizábal'}",False,False,False,IM/ALQJAM09,4,Moncloa,False
271,97547313,750.0,flat,rent,74.0,True,3,1,Calle Diego Ros y Medrano,Madrid,Alcalá de Henares,es,404.881.971,-3.370.613,False,29245,True,good,False,10.0,{'typology': 'flat'},"{'subtitle': 'Chorrillo, Alcalá de Henares', 'title': 'Piso en Calle Diego Ros y Medrano'}",True,True,False,CG-79084-0001,2,Chorrillo,True
272,96473156,710.0,flat,rent,69.0,True,3,1,Calle Pinzón,Madrid,Alcalá de Henares,es,404.731.862,-33.754.457,False,28440,True,good,False,10.0,{'typology': 'flat'},"{'subtitle': 'Reyes Católicos, Alcalá de Henares', 'title': 'Piso en Calle Pinzón'}",True,True,False,CG-75320-0001,5,Reyes Católicos,True
273,91682420,560.0,studio,rent,46.0,True,0,1,Calle Puerto de Tarancón,Madrid,Madrid,es,40.401.323,-3.663.341,False,3786,True,good,False,12.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Numancia, Madrid', 'title': 'Estudio en Calle Puerto de Tarancón'}",True,True,False,CH-94212-0001,bj,Puente de Vallecas,False
274,98752639,600.0,flat,rent,42.0,True,1,1,Maestro Caballero,Madrid,Torrejón de Ardoz,es,40.459.912,-3.487.187,False,18905,False,good,False,14.0,{'typology': 'flat'},"{'subtitle': 'Noroeste, Torrejón de Ardoz', 'title': 'Piso en Maestro Caballero'}",False,False,False,1414,bj,Noroeste,False
275,98766019,720.0,flat,rent,44.0,True,1,1,Calle Recesvinto,Madrid,Madrid,es,403.942.653,-37.337.412,False,3589,False,good,False,16.0,{'typology': 'flat'},"{'subtitle': 'San Isidro, Madrid', 'title': 'Piso en Calle Recesvinto'}",True,False,False,3385-04261,ss,Carabanchel,False
276,98808540,750.0,flat,rent,60.0,True,2,1,Calle Athos,Madrid,Madrid,es,404.094.468,-37.323.408,False,2591,False,good,False,13.0,{'typology': 'flat'},"{'subtitle': 'Puerta del Ángel, Madrid', 'title': 'Piso en Calle Athos'}",False,False,False,2808-024751-01,,Latina,False
277,98900505,750.0,flat,rent,42.0,False,1,1,"Paseo de las delicias, 125",Madrid,Madrid,es,403.927.535,-36.945.366,True,2762,False,good,False,18.0,{'typology': 'flat'},"{'subtitle': 'Delicias, Madrid', 'title': 'Piso en Paseo de las delicias, 125'}",False,False,False,,4,Arganzuela,True
278,98902228,750.0,studio,rent,90.0,True,0,1,Calle de San Romualdo,Madrid,Madrid,es,404.393.937,-36.232.212,False,7228,False,good,False,8.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Simancas, Madrid', 'title': 'Estudio en Calle de San Romualdo'}",False,False,False,172DL,4,San Blas,True
279,98838004,650.0,studio,rent,45.0,False,0,1,"Calle Zabaleta, 36",Madrid,Madrid,es,40.442.298,-36.733.654,True,3807,True,good,False,14.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Prosperidad, Madrid', 'title': 'Estudio en Calle Zabaleta, 36'}",True,False,False,,bj,Chamartín,True
280,98255681,650.0,flat,rent,59.0,True,1,1,Calle la Pila,Madrid,Parla,es,40.239.658,-3.776.349,False,20637,True,good,False,11.0,{'typology': 'flat'},"{'subtitle': 'El Nido-Las Fuentes, Parla', 'title': 'Piso en Calle la Pila'}",False,False,False,610321,2,El Nido-Las Fuentes,True
281,98890639,670.0,flat,rent,75.0,True,2,1,El Mirador - Grillero,Madrid,Arganda,es,402.938.125,-34.276.338,False,27056,False,good,False,9.0,{'typology': 'flat'},"{'subtitle': 'El Mirador - Grillero, Arganda', 'title': 'Piso'}",False,False,False,0822-2,3,El Mirador - Grillero,True
282,97886641,650.0,flat,rent,45.0,True,1,1,"Calle Garcilaso, 1",Madrid,Getafe,es,403.082.527,-37.365.244,True,12383,False,newdevelopment,True,14.0,{'typology': 'flat'},"{'subtitle': 'La Alhóndiga, Getafe', 'title': 'Piso en Calle Garcilaso, 1'}",True,False,False,2º C   ,2,La Alhóndiga,True
283,98902468,750.0,flat,rent,32.0,True,1,1,Calle Valentín San Narciso,Madrid,Madrid,es,403.850.596,-36.558.159,False,5339,False,good,False,23.0,{'typology': 'flat'},"{'subtitle': 'Palomeras Bajas, Madrid', 'title': 'Piso en Calle Valentín San Narciso'}",False,False,False,IM/ALQVSN0922,2,Puente de Vallecas,True
284,98558643,725.0,flat,rent,50.0,True,1,1,Calle de José,Madrid,Madrid,es,404.662.887,-36.944.003,False,5564,,,,,,,,,,,,,
285,98919214,620.0,studio,rent,20.0,False,0,1,"Calle de Canarias, 38",Madrid,Madrid,es,404.017.593,-36.925.296,True,1893,False,good,False,31.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Palos de Moguer, Madrid', 'title': 'Estudio en Calle de Canarias, 38'}",False,False,False,,1,Arganzuela,True
286,98883097,680.0,flat,rent,35.0,True,1,1,"Gorrión, 62",Madrid,Madrid,es,403.964.893,-37.319.279,True,3308,False,good,False,19.0,{'typology': 'flat'},"{'subtitle': 'San Isidro, Madrid', 'title': 'Piso en Gorrión, 62'}",False,False,False,RA-190-4,bj,Carabanchel,False
287,98888972,750.0,flat,rent,87.0,True,3,1,Calle Ecuador,Madrid,Coslada,es,404.248.733,-35.557.412,False,12519,False,good,False,9.0,{'typology': 'flat'},"{'subtitle': 'La Espinilla - Parque Blanco, Coslada', 'title': 'Piso en Calle Ecuador'}",False,False,False,988,bj,La Espinilla - Parque Blanco,True
288,97886596,670.0,flat,rent,53.0,True,1,1,"Calle Garcilaso, 1",Madrid,Getafe,es,403.082.527,-37.365.244,True,12383,False,newdevelopment,True,13.0,{'typology': 'flat'},"{'subtitle': 'La Alhóndiga, Getafe', 'title': 'Piso en Calle Garcilaso, 1'}",True,False,False,1º A   ,1,La Alhóndiga,True
289,90276133,600.0,flat,rent,75.0,True,3,1,Paseo de los Curas,Madrid,Alcalá de Henares,es,404.765.201,-33.726.216,False,28756,,,,,,,,,,,,,
290,98915091,750.0,flat,rent,70.0,True,2,1,Calle Sierra de Peñalara,Madrid,Alcorcón,es,403.468.848,-3.820.639,False,12614,False,good,False,11.0,{'typology': 'flat'},"{'subtitle': 'Zona Centro Joven, Alcorcón', 'title': 'Piso en Calle Sierra de Peñalara'}",False,False,False,3277,4,Centro,False
291,98920391,700.0,flat,rent,36.0,True,2,1,Calle Agua,Madrid,Pozuelo de Alarcón,es,404.335.309,-38.135.961,False,9525,False,good,False,19.0,{'typology': 'flat'},"{'subtitle': 'Zona Pueblo, Pozuelo de Alarcón', 'title': 'Piso en Calle Agua'}",False,False,False,3433-02291,3,Zona Pueblo,False
292,98755671,695.0,flat,rent,58.0,False,1,1,Calle Nuestra Señora de la Antigua,Madrid,Madrid,es,403.749.437,-37.414.692,False,5659,True,good,False,12.0,{'typology': 'flat'},"{'subtitle': 'Puerta Bonita, Madrid', 'title': 'Piso en Calle Nuestra Señora de la Antigua'}",True,True,False,7237320-AL,1,Carabanchel,True
293,98281782,710.0,flat,rent,66.0,True,1,1,Avenida París,Madrid,Arganda,es,403.007.749,-34.502.406,False,25013,False,good,False,11.0,{'typology': 'flat'},"{'subtitle': 'Centro, Arganda', 'title': 'Piso en Avenida París'}",False,False,False,8024-VI-0P1-00B-002-00D,2,Centro,True
294,98659046,620.0,flat,rent,80.0,True,2,1,Calle de la Fuente Nueva,Madrid,Bustarviejo,es,408.598.935,-37.084.025,False,49280,False,good,False,8.0,{'typology': 'flat'},"{'subtitle': 'Bustarviejo', 'title': 'Piso en Calle de la Fuente Nueva'}",False,False,False,5100,2,,False
295,88276582,700.0,flat,rent,80.0,True,3,1,"Tomillo, 7",Madrid,Collado Mediano,es,40.691.275,-40.255.528,True,40907,False,good,False,9.0,{'typology': 'flat'},"{'subtitle': 'Collado Mediano', 'title': 'Piso en Tomillo, 7'}",False,False,False,021/2021,1,,False
296,98671338,715.0,flat,rent,89.0,True,3,1,Ronda del Mediodía,Madrid,Chinchón,es,401.366.254,-34.203.324,False,39316,False,good,False,8.0,{'typology': 'flat'},"{'subtitle': 'Chinchón', 'title': 'Piso en Ronda del Mediodía'}",False,False,False,5101,bj,,False
297,36361245,750.0,flat,rent,50.0,True,1,1,"Embalse de Navacerrada, 55",Madrid,Madrid,es,403.591.421,-35.946.665,True,11203,False,good,False,15.0,{'typology': 'flat'},"{'subtitle': 'Ensanche de Vallecas - La Gavia, Madrid', 'title': 'Piso en Embalse de Navacerrada, 55'}",False,False,False,Vallecas1dvac,1,Villa de Vallecas,True
298,98832743,750.0,flat,rent,45.0,True,1,1,Santa Susana,Madrid,Madrid,es,404.799.197,-36.483.367,False,8426,False,good,False,17.0,{'typology': 'flat'},"{'subtitle': 'Pinar del Rey, Madrid', 'title': 'Piso en Santa Susana'}",True,False,False,,2,Hortaleza,True
299,98916580,550.0,studio,rent,25.0,False,0,1,Calle Juan del Risco,Madrid,Madrid,es,404.585.171,-37.045.191,False,4650,False,good,False,22.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Berruguete, Madrid', 'title': 'Estudio en Calle Juan del Risco'}",False,False,False,A4422,bj,Tetuán,False
300,98859212,730.0,flat,rent,60.0,True,1,1,Calle de la Huerta del Convento,Madrid,Colmenar Viejo,es,406.620.032,-37.670.979,False,27803,False,good,False,12.0,{'typology': 'flat'},"{'subtitle': 'Centro, Colmenar Viejo', 'title': 'Piso en Calle de la Huerta del Convento'}",False,False,False,RP1842022104414,,Centro,False
301,98786778,750.0,penthouse,rent,46.0,True,2,1,Calle Leonor González,Madrid,Madrid,es,403.996.612,-3.663.134,False,3889,False,good,False,16.0,"{'typology': 'flat', 'subTypology': 'penthouse'}","{'subtitle': 'Numancia, Madrid', 'title': 'Ático en Calle Leonor González'}",False,False,False,,4,Puente de Vallecas,True
302,98896801,700.0,flat,rent,45.0,True,1,1,Avenida de Vicálvaro,Madrid,Coslada,es,404.189.818,-35.392.291,False,13887,False,good,False,16.0,{'typology': 'flat'},"{'subtitle': 'Ciudad 70, Coslada', 'title': 'Piso en Avenida de Vicálvaro'}",False,False,False,AVD VICALVARO_4,bj,Ciudad 70,False
303,98878442,680.0,flat,rent,85.0,True,2,1,Calle Paraguay,Madrid,Coslada,es,404.232.434,-35.463.304,False,13303,False,renew,False,8.0,{'typology': 'flat'},"{'subtitle': 'Valleaguado - La Cañada, Coslada', 'title': 'Piso en Calle Paraguay'}",False,False,False,Paraguay 3,bj,Valleaguado - La Cañada,True
304,97830042,600.0,flat,rent,28.0,False,1,1,"Calle de Francos Rodríguez, 25",Madrid,Madrid,es,404.564.005,-37.056.355,True,4418,True,good,False,21.0,{'typology': 'flat'},"{'subtitle': 'Bellas Vistas, Madrid', 'title': 'Piso en Calle de Francos Rodríguez, 25'}",False,False,False,,4,Tetuán,False
305,98914748,750.0,flat,rent,80.0,True,2,1,Colmenarejo,Madrid,Colmenarejo,es,405.602.502,-40.174.547,False,30995,False,good,False,9.0,{'typology': 'flat'},"{'subtitle': 'Colmenarejo', 'title': 'Piso'}",False,False,False,15,1,,False
306,98853850,700.0,flat,rent,62.0,True,1,1,Plaza de España,Madrid,Alcorcón,es,403.492.684,-38.292.227,False,13040,False,good,False,11.0,{'typology': 'flat'},"{'subtitle': 'Casco Antiguo, Alcorcón', 'title': 'Piso en Plaza de España'}",False,False,False,972,2,Centro,True
307,93305965,690.0,flat,rent,77.0,True,2,1,"Calle Francisco Lizcano, 22",Madrid,Madrid,es,40.366.914,-3.759.137,True,7283,False,good,False,9.0,{'typology': 'flat'},"{'subtitle': 'Buena Vista, Madrid', 'title': 'Piso en Calle Francisco Lizcano, 22'}",False,False,False,,bj,Carabanchel,True
308,98858883,700.0,flat,rent,50.0,True,1,1,Calle José Anduiza,Madrid,Madrid,es,404.860.308,-36.861.008,False,7844,False,good,False,14.0,{'typology': 'flat'},"{'subtitle': 'Tres Olivos - Valverde, Madrid', 'title': 'Piso en Calle José Anduiza'}",False,False,False,,bj,Fuencarral,False
309,86889358,750.0,flat,rent,87.0,True,2,1,"Avenida de Roma, 5",Madrid,Coslada,es,404.226.492,-35.407.224,True,13773,False,good,False,9.0,{'typology': 'flat'},"{'subtitle': 'Ciudad 70, Coslada', 'title': 'Piso en Avenida de Roma, 5'}",False,False,False,,5,Ciudad 70,True
310,98804640,735.0,flat,rent,51.0,True,1,1,Calle de Lina Odena,Madrid,Getafe,es,402.970.317,-37.555.218,False,14023,False,good,False,14.0,{'typology': 'flat'},"{'subtitle': 'Buenavista, Getafe', 'title': 'Piso en Calle de Lina Odena'}",False,False,False,GET01 1D 2PK TERRAZA,4,Buenavista,True
311,82028809,700.0,flat,rent,80.0,True,3,1,"Calle Huesca, 10",Madrid,Móstoles,es,403.193.269,-38.696.862,True,17777,False,good,False,9.0,{'typology': 'flat'},"{'subtitle': 'Suroeste, Móstoles', 'title': 'Piso en Calle Huesca, 10'}",False,False,False,,5,Suroeste,True
312,98720876,725.0,flat,rent,75.0,True,3,1,Calle de Málaga,Madrid,Fuenlabrada,es,402.889.156,-3.796.248,False,16247,False,good,False,10.0,{'typology': 'flat'},"{'subtitle': 'Centro, Fuenlabrada', 'title': 'Piso en Calle de Málaga'}",False,False,False,r1790,,Centro,False
313,98697901,733.0,flat,rent,68.4,True,2,1,Calle de Honduras,Madrid,Alcalá de Henares,es,405.045.743,-33.862.578,False,28541,False,good,False,11.0,{'typology': 'flat'},"{'subtitle': 'Las Sedas - El Olivar, Alcalá de Henares', 'title': 'Piso en Calle de Honduras'}",False,False,False,AHE01 2D PLANTA 2,2,Las Sedas - El Olivar,True
314,90073709,750.0,flat,rent,36.0,True,1,1,Calle y Travesía del Poeta Blas de Otero,Madrid,Madrid,es,404.219.077,-36.536.601,False,4237,True,good,False,21.0,{'typology': 'flat'},"{'subtitle': 'Ventas, Madrid', 'title': 'Piso en Calle y Travesía del Poeta Blas de Otero'}",False,False,False,320I01OBP10,bj,Ciudad Lineal,True
315,81808726,675.0,flat,rent,69.0,True,2,1,"Calle de Camarena, 246",Madrid,Madrid,es,403.873.972,-37.578.528,True,5656,False,good,False,10.0,{'typology': 'flat'},"{'subtitle': 'Aluche, Madrid', 'title': 'Piso en Calle de Camarena, 246'}",False,False,False,,bj,Latina,False
316,98790399,650.0,flat,rent,85.0,True,2,1,"Calle Magerit, 1",Madrid,Guadarrama,es,406.768.267,-40.809.054,True,43066,True,good,False,8.0,{'typology': 'flat'},"{'subtitle': 'Guadarrama', 'title': 'Piso en Calle Magerit, 1'}",False,False,False,,2,,False
317,94942985,730.0,flat,rent,52.0,True,1,1,Calle Cantueso,Madrid,Madrid,es,404.695.795,-3.703.982,False,5879,True,good,False,14.0,{'typology': 'flat'},"{'subtitle': 'Valdeacederas, Madrid', 'title': 'Piso en Calle Cantueso'}",False,False,False,Cantueso,bj,Tetuán,True
318,98869320,700.0,flat,rent,97.0,True,1,1,"Vereda Carpetana, 7",Madrid,Loeches,es,403.984.812,-34.136.208,True,24605,False,good,False,7.0,{'typology': 'flat'},"{'subtitle': 'Loeches', 'title': 'Piso en Vereda Carpetana, 7'}",False,False,False,,bj,,True
319,98392399,690.0,studio,rent,38.0,False,0,1,Calle Manchegos,Madrid,Madrid,es,404.687.716,-36.995.272,False,5798,True,good,False,18.0,"{'typology': 'flat', 'subTypology': 'studio'}","{'subtitle': 'Valdeacederas, Madrid', 'title': 'Estudio en Calle Manchegos'}",True,True,False,1000021548-CA,2,Tetuán,True
